,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
12,BOS,41.0,Red Auerbach,1958-59,11.0,8.0,3.0,0.727,72,52.0,20.0,0.722,1.0
13,BOS,42.0,Red Auerbach,1959-60,13.0,8.0,5.0,0.615,75,59.0,16.0,0.787,1.0
14,BOS,43.0,Red Auerbach,1960-61,10.0,8.0,2.0,0.8,79,57.0,22.0,0.722,1.0
15,BOS,44.0,Red Auerbach,1961-62,14.0,8.0,6.0,0.5710000000000001,80,60.0,20.0,0.75,1.0
16,BOS,45.0,Red Auerbach,1962-63,13.0,8.0,5.0,0.615,80,58.0,22.0,0.725,1.0
17,BOS,46.0,Red Auerbach,1963-64,10.0,8.0,2.0,0.8,80,59.0,21.0,0.738,1.0
18,BOS,47.0,Red Auerbach,1964-65,12.0,8.0,4.0,0.667,80,62.0,18.0,0.775,1.0
19,BOS,48.0,Red Auerbach,1965-66,17.0,11.0,6.0,0.647,80,54.0,26.0,0.675,2.0
20,,,Red Auerbach,Career,168.0,99.0,69.0,0.589,1417,938.0,479.0,0.662,
4,PHI,47.0,Randy Ayers,2003-04,,,,,52,21.0,31.0,0.40399999999999997,5.0
12,,,Randy Ayers,Career,,,,,52,21.0,31.0,0.40399999999999997,
1,GSW,55.0,Johnny Bach,1979-80,,,,,21,6.0,15.0,0.28600000000000003,6.0
5,GSW,59.0,Johnny Bach,1983-84,,,,,82,37.0,45.0,0.451,5.0
6,GSW,60.0,Johnny Bach,1984-85,,,,,82,22.0,60.0,0.268,6.0
7,GSW,61.0,Johnny Bach,1985-86,,,,,82,30.0,52.0,0.366,6.0
22,,,Johnny Bach,Career,,,,,267,95.0,172.0,0.35600000000000004,
2,CHI,44.0,Ed Badger,1976-77,3.0,1.0,2.0,0.33299999999999996,82,44.0,38.0,0.537,3.0
3,CHI,45.0,Ed Badger,1977-78,,,,,82,40.0,42.0,0.488,3.0
14,,,Ed Badger,Career,3.0,1.0,2.0,0.33299999999999996,164,84.0,80.0,0.512,
3,MEM,60.0,Tony Barone,2006-07,,,,,52,16.0,36.0,0.308,5.0
4,,,Tony Barone,Career,,,,,52,16.0,36.0,0.308,
7,NJN,,Tom Barrise,2009-10,,,,,2,0.0,2.0,0.0,5.0
10,,,Tom Barrise,Career,,,,,2,0.0,2.0,0.0,
0,DNR,39.0,Bob Bass,1967-68,5.0,2.0,3.0,0.4,78,45.0,33.0,0.5770000000000001,3.0
1,DNR,40.0,Bob Bass,1968-69,7.0,3.0,4.0,0.429,78,44.0,34.0,0.564,3.0
2,FLO,42.0,Bob Bass,1970-71,6.0,2.0,4.0,0.33299999999999996,36,19.0,17.0,0.528,4.0
3,FLO,43.0,Bob Bass,1971-72,4.0,0.0,4.0,0.0,84,36.0,48.0,0.429,4.0
4,MMT,44.0,Bob Bass,1972-73,,,,,84,24.0,60.0,0.28600000000000003,5.0
5,SAA,46.0,Bob Bass,1974-75,6.0,2.0,4.0,0.33299999999999996,56,33.0,23.0,0.589,2.0
6,SAA,47.0,Bob Bass,1975-76,7.0,3.0,4.0,0.429,84,50.0,34.0,0.595,3.0
10,SAS,51.0,Bob Bass,1979-80,3.0,1.0,2.0,0.33299999999999996,16,8.0,8.0,0.5,3.0
11,SAS,55.0,Bob Bass,1983-84,,,,,51,26.0,25.0,0.51,5.0
13,SAS,63.0,Bob Bass,1991-92,3.0,0.0,3.0,0.0,44,26.0,18.0,0.591,2.0
14,,,Bob Bass,Career,41.0,13.0,28.0,0.317,611,311.0,300.0,0.509,
1,NOJ,40.0,Elgin Baylor,1974-75,,,,,1,0.0,1.0,0.0,5.0
4,NOJ,42.0,Elgin Baylor,1976-77,,,,,56,21.0,35.0,0.375,5.0
5,NOJ,43.0,Elgin Baylor,1977-78,,,,,82,39.0,43.0,0.47600000000000003,5.0
6,NOJ,44.0,Elgin Baylor,1978-79,,,,,82,26.0,56.0,0.317,6.0
7,,,Elgin Baylor,Career,,,,,221,86.0,135.0,0.389,
6,NJN,47.0,Butch Beard,1994-95,,,,,82,30.0,52.0,0.366,5.0
7,NJN,48.0,Butch Beard,1995-96,,,,,82,30.0,52.0,0.366,6.0
11,,,Butch Beard,Career,,,,,164,60.0,104.0,0.366,
0,BLB,56.0,Clair Bee,1952-53,2.0,0.0,2.0,0.0,67,16.0,51.0,0.239,4.0
1,BLB,57.0,Clair Bee,1953-54,,,,,72,16.0,56.0,0.222,5.0
