,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
87,PHI,47.0,Randy Ayers,2004,,,,,52,21.0,31.0,0.404,5.0
89,GSW,55.0,Johnny Bach,1980,,,,,21,6.0,15.0,0.28600000000000003,6.0
90,GSW,59.0,Johnny Bach,1984,,,,,82,37.0,45.0,0.451,5.0
91,GSW,60.0,Johnny Bach,1985,,,,,82,22.0,60.0,0.268,6.0
92,GSW,61.0,Johnny Bach,1986,,,,,82,30.0,52.0,0.366,6.0
94,CHI,44.0,Ed Badger,1977,3.0,1.0,2.0,0.333,82,44.0,38.0,0.537,3.0
95,CHI,45.0,Ed Badger,1978,,,,,82,40.0,42.0,0.488,3.0
97,MEM,60.0,Tony Barone,2007,,,,,52,16.0,36.0,0.308,5.0
99,NJN,,Tom Barrise,2010,,,,,2,0.0,2.0,0.0,5.0
101,DNR,39.0,Bob Bass,1968,5.0,2.0,3.0,0.4,78,45.0,33.0,0.5770000000000001,3.0
102,DNR,40.0,Bob Bass,1969,7.0,3.0,4.0,0.429,78,44.0,34.0,0.564,3.0
103,FLO,42.0,Bob Bass,1971,6.0,2.0,4.0,0.333,36,19.0,17.0,0.528,4.0
104,FLO,43.0,Bob Bass,1972,4.0,0.0,4.0,0.0,84,36.0,48.0,0.429,4.0
105,MMT,44.0,Bob Bass,1973,,,,,84,24.0,60.0,0.28600000000000003,5.0
106,SAA,46.0,Bob Bass,1975,6.0,2.0,4.0,0.333,56,33.0,23.0,0.589,2.0
107,SAA,47.0,Bob Bass,1976,7.0,3.0,4.0,0.429,84,50.0,34.0,0.595,3.0
108,SAS,51.0,Bob Bass,1980,3.0,1.0,2.0,0.333,16,8.0,8.0,0.5,3.0
109,SAS,55.0,Bob Bass,1984,,,,,51,26.0,25.0,0.51,5.0
110,SAS,63.0,Bob Bass,1992,3.0,0.0,3.0,0.0,44,26.0,18.0,0.591,2.0
112,NOJ,40.0,Elgin Baylor,1975,,,,,1,0.0,1.0,0.0,5.0
113,NOJ,42.0,Elgin Baylor,1977,,,,,56,21.0,35.0,0.375,5.0
114,NOJ,43.0,Elgin Baylor,1978,,,,,82,39.0,43.0,0.476,5.0
115,NOJ,44.0,Elgin Baylor,1979,,,,,82,26.0,56.0,0.317,6.0
117,NJN,47.0,Butch Beard,1995,,,,,82,30.0,52.0,0.366,5.0
